CBSA_Name,Lat,Lng
"Albany-Schenectady-Troy, NY",42.745522,-73.816521
"Amsterdam, NY",42.937744,-74.190353
"Auburn, NY",42.931782,-76.566139
"Batavia, NY",42.99691,-78.186028
"Binghamton, NY",42.098701,-75.912537
"Buffalo-Cheektowaga, NY",42.93429184,-78.73208618
"Corning, NY",42.1435257,-77.0543408
"Cortland, NY",42.5842136,-76.0704906
"Elmira, NY",42.0897965,-76.8077338
"Glens Falls, NY",43.309941,-73.644447
"Gloversville, NY",43.0508945,-74.3452991
"Hudson, NY",42.2528649,-73.790959
"Ithaca, NY",42.4374175,-76.5483724
"Jamestown-Dunkirk-Fredonia, NY",42.177637,-78.943409
"Kingston, NY",41.9287812,-74.0023702
"Malone, NY",44.84881,-74.295044
"New York-Newark-Jersey City, NY-NJ-PA",40.7292861,-74.0550872
"Ogdensburg-Massena, NY",44.574034,-75.515384
"Olean, NY",42.0775022,-78.4298248
"Oneonta, NY",42.453492,-75.0629531
"Plattsburgh, NY",44.69282,-73.45562
"Poughkeepsie-Newburgh-Middletown, NY",41.44593,-74.42293
"Rochester, NY",43.157285,-77.615214
"Seneca Falls, NY",42.910719,-76.7967848
"Syracuse, NY",43.0481221,-76.1474244
"Utica-Rome, NY",43.0797317,-75.5162374
"Watertown-Fort Drum, NY",43.9718568,-75.9118843
